gene_id	module_no	colors
ENSG00000106400	3	brown
ENSG00000106404	16	lightcyan
ENSG00000106415	12	tan
ENSG00000106443	1	turquoise
ENSG00000106459	3	brown
ENSG00000106460	2	blue
ENSG00000106462	1	turquoise
ENSG00000106477	1	turquoise
ENSG00000106479	1	turquoise
ENSG00000106483	1	turquoise
ENSG00000106484	1	turquoise
ENSG00000106511	11	greenyellow
ENSG00000106524	2	blue
ENSG00000106526	13	salmon
ENSG00000106537	18	lightgreen
ENSG00000106538	22	darkgreen
ENSG00000106541	5	green
ENSG00000106546	1	turquoise
ENSG00000106554	2	blue
ENSG00000106560	15	midnightblue
ENSG00000106565	2	blue
ENSG00000106571	17	grey60
ENSG00000106588	8	pink
ENSG00000106591	3	brown
ENSG00000106603	1	turquoise
ENSG00000106605	3	brown
ENSG00000106608	19	lightyellow
ENSG00000106609	4	yellow
ENSG00000106615	8	pink
ENSG00000106617	2	blue
ENSG00000106624	1	turquoise
ENSG00000106628	1	turquoise
ENSG00000106635	2	blue
ENSG00000106636	8	pink
ENSG00000106638	1	turquoise
ENSG00000106665	6	red
ENSG00000106682	2	blue
ENSG00000106683	1	turquoise
ENSG00000106686	1	turquoise
ENSG00000106688	4	yellow
ENSG00000106692	1	turquoise
ENSG00000106701	1	turquoise
ENSG00000106714	9	magenta
ENSG00000106723	17	grey60
ENSG00000106733	2	blue
ENSG00000106771	1	turquoise
ENSG00000106772	12	tan
ENSG00000106780	1	turquoise
ENSG00000106785	7	black
ENSG00000106789	6	red
ENSG00000106799	1	turquoise
ENSG00000106803	3	brown
ENSG00000106804	23	darkturquoise
ENSG00000106809	2	blue
ENSG00000106819	1	turquoise
ENSG00000106823	1	turquoise
ENSG00000106829	27	white
ENSG00000106852	1	turquoise
ENSG00000106853	21	darkred
ENSG00000106868	29	saddlebrown
ENSG00000106948	1	turquoise
ENSG00000106952	7	black
ENSG00000106976	1	turquoise
ENSG00000106991	1	turquoise
ENSG00000106992	14	cyan
ENSG00000106993	3	brown
ENSG00000107014	1	turquoise
ENSG00000107020	2	blue
ENSG00000107021	1	turquoise
ENSG00000107036	7	black
ENSG00000107077	13	salmon
ENSG00000107099	12	tan
ENSG00000107104	1	turquoise
ENSG00000107105	23	darkturquoise
ENSG00000107130	1	turquoise
ENSG00000107140	14	cyan
ENSG00000107164	17	grey60
ENSG00000107165	1	turquoise
ENSG00000107175	3	brown
ENSG00000107185	7	black
ENSG00000107186	1	turquoise
ENSG00000107201	25	orange
ENSG00000107223	3	brown
ENSG00000107242	2	blue
ENSG00000107249	7	black
ENSG00000107262	4	yellow
ENSG00000107263	7	black
ENSG00000107281	5	green
ENSG00000107282	6	red
ENSG00000107290	7	black
ENSG00000107317	9	magenta
ENSG00000107331	1	turquoise
ENSG00000107338	1	turquoise
ENSG00000107341	1	turquoise
ENSG00000107362	9	magenta
ENSG00000107371	8	pink
ENSG00000107372	1	turquoise
ENSG00000107404	16	lightcyan
ENSG00000107438	2	blue
ENSG00000107443	1	turquoise
ENSG00000107485	9	magenta
ENSG00000107521	2	blue
ENSG00000107537	2	blue
ENSG00000107551	2	blue
ENSG00000107554	7	black
ENSG00000107560	1	turquoise
ENSG00000107562	13	salmon
ENSG00000107566	25	orange
ENSG00000107581	7	black
ENSG00000107611	1	turquoise
ENSG00000107614	20	royalblue
ENSG00000107625	8	pink
ENSG00000107643	2	blue
ENSG00000107651	26	darkorange
ENSG00000107669	2	blue
ENSG00000107672	3	brown
ENSG00000107679	20	royalblue
ENSG00000107719	1	turquoise
ENSG00000107731	7	black
ENSG00000107736	25	orange
ENSG00000107738	4	yellow
ENSG00000107742	9	magenta
ENSG00000107745	2	blue
ENSG00000107758	17	grey60
ENSG00000107771	1	turquoise
ENSG00000107779	20	royalblue
